Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
Total Nacional;Guinea;2009;1.241
Total Nacional;Guinea;2008;1.729
Total Nacional;Guinea Ecuatorial;2021;1.254
Total Nacional;Guinea Ecuatorial;2020;779
Total Nacional;Guinea Ecuatorial;2019;1.546
Total Nacional;Guinea Ecuatorial;2018;1.745
Total Nacional;Guinea Ecuatorial;2017;1.792
Total Nacional;Guinea Ecuatorial;2016;1.801
Total Nacional;Guinea Ecuatorial;2015;1.624
Total Nacional;Guinea Ecuatorial;2014;1.336
Total Nacional;Guinea Ecuatorial;2013;1.127
Total Nacional;Guinea Ecuatorial;2012;1.113
Total Nacional;Guinea Ecuatorial;2011;1.204
Total Nacional;Guinea Ecuatorial;2010;1.339
Total Nacional;Guinea Ecuatorial;2009;1.506
Total Nacional;Guinea Ecuatorial;2008;2.213
Total Nacional;Mali;2021;3.946
Total Nacional;Mali;2020;2.243
Total Nacional;Mali;2019;2.711
Total Nacional;Mali;2018;1.855
Total Nacional;Mali;2017;1.150
Total Nacional;Mali;2016;1.162
Total Nacional;Mali;2015;1.165
Total Nacional;Mali;2014;1.250
Total Nacional;Mali;2013;1.162
Total Nacional;Mali;2012;1.085
Total Nacional;Mali;2011;1.083
Total Nacional;Mali;2010;1.313
Total Nacional;Mali;2009;2.098
Total Nacional;Mali;2008;3.502
Total Nacional;Marruecos;2021;60.566
Total Nacional;Marruecos;2020;45.991
Total Nacional;Marruecos;2019;74.827
Total Nacional;Marruecos;2018;62.609
Total Nacional;Marruecos;2017;40.729
Total Nacional;Marruecos;2016;30.064
Total Nacional;Marruecos;2015;23.998
Total Nacional;Marruecos;2014;19.922
Total Nacional;Marruecos;2013;20.222
Total Nacional;Marruecos;2012;22.194
Total Nacional;Marruecos;2011;27.651
Total Nacional;Marruecos;2010;29.627
Total Nacional;Marruecos;2009;42.646
Total Nacional;Marruecos;2008;71.141
Total Nacional;Mauritania;2021;1.256
Total Nacional;Mauritania;2020;600
Total Nacional;Mauritania;2019;912
Total Nacional;Mauritania;2018;764
Total Nacional;Mauritania;2017;486
Total Nacional;Mauritania;2016;719
Total Nacional;Mauritania;2015;671
Total Nacional;Mauritania;2014;550
Total Nacional;Mauritania;2013;506
Total Nacional;Mauritania;2012;472
Total Nacional;Mauritania;2011;601
Total Nacional;Mauritania;2010;666
Total Nacional;Mauritania;2009;867
Total Nacional;Mauritania;2008;1.577
Total Nacional;Nigeria;2021;1.505
Total Nacional;Nigeria;2020;1.221
Total Nacional;Nigeria;2019;1.664
Total Nacional;Nigeria;2018;1.699
Total Nacional;Nigeria;2017;1.490
Total Nacional;Nigeria;2016;1.248
Total Nacional;Nigeria;2015;1.283
Total Nacional;Nigeria;2014;1.291
Total Nacional;Nigeria;2013;1.496
Total Nacional;Nigeria;2012;1.837
Total Nacional;Nigeria;2011;2.217
Total Nacional;Nigeria;2010;2.452
Total Nacional;Nigeria;2009;2.966
Total Nacional;Nigeria;2008;4.855
Total Nacional;Senegal;2021;7.467
Total Nacional;Senegal;2020;5.253
Total Nacional;Senegal;2019;8.162
Total Nacional;Senegal;2018;6.973
Total Nacional;Senegal;2017;4.525
Total Nacional;Senegal;2016;3.974
Total Nacional;Senegal;2015;3.408
Total Nacional;Senegal;2014;2.994
Total Nacional;Senegal;2013;3.062
Total Nacional;Senegal;2012;2.941
Total Nacional;Senegal;2011;3.601
Total Nacional;Senegal;2010;3.777
Total Nacional;Senegal;2009;7.132
Total Nacional;Senegal;2008;10.568
Total Nacional;Otro país de África;2021;6.075
Total Nacional;Otro país de África;2020;4.168
Total Nacional;Otro país de África;2019;6.693
Total Nacional;Otro país de África;2018;5.931
Total Nacional;Otro país de África;2017;5.153
Total Nacional;Otro país de África;2016;4.734
Total Nacional;Otro país de África;2015;4.437
Total Nacional;Otro país de África;2014;4.066
Total Nacional;Otro país de África;2013;3.959
Total Nacional;Otro país de África;2012;4.059
Total Nacional;Otro país de África;2011;4.001
Total Nacional;Otro país de África;2010;3.598
Total Nacional;Otro país de África;2009;4.526
Total Nacional;Otro país de África;2008;5.952
Total Nacional;América del Norte;2021;18.258
Total Nacional;América del Norte;2020;11.817
Total Nacional;América del Norte;2019;18.519
Total Nacional;América del Norte;2018;16.338
Total Nacional;América del Norte;2017;15.087
Total Nacional;América del Norte;2016;11.834
Total Nacional;América del Norte;2015;11.500
Total Nacional;América del Norte;2014;10.377
Total Nacional;América del Norte;2013;10.265
Total Nacional;América del Norte;2012;10.722
Total Nacional;América del Norte;2011;11.253
Total Nacional;América del Norte;2010;9.061
Total Nacional;América del Norte;2009;8.716
Total Nacional;América del Norte;2008;9.749
Total Nacional;Estados Unidos de América;2021;9.310
Total Nacional;Estados Unidos de América;2020;5.975
Total Nacional;Estados Unidos de América;2019;9.475
Total Nacional;Estados Unidos de América;2018;8.566
Total Nacional;Estados Unidos de América;2017;7.803
Total Nacional;Estados Unidos de América;2016;6.241
Total Nacional;Estados Unidos de América;2015;6.009
Total Nacional;Estados Unidos de América;2014;5.411
Total Nacional;Estados Unidos de América;2013;5.586
Total Nacional;Estados Unidos de América;2012;5.042
Total Nacional;Estados Unidos de América;2011;5.163
Total Nacional;Estados Unidos de América;2010;3.838
Total Nacional;Estados Unidos de América;2009;3.716
Total Nacional;Estados Unidos de América;2008;3.827
Total Nacional;México;2021;7.909
Total Nacional;México;2020;5.075
Total Nacional;México;2019;8.017
Total Nacional;México;2018;6.822
Total Nacional;México;2017;6.408
Total Nacional;México;2016;4.851
Total Nacional;México;2015;4.806
Total Nacional;México;2014;4.278
Total Nacional;México;2013;4.032
Total Nacional;México;2012;5.057
Total Nacional;México;2011;5.472
Total Nacional;México;2010;4.728
Total Nacional;México;2009;4.550
Total Nacional;México;2008;5.472
Total Nacional;Canadá;2021;1.039
Total Nacional;Canadá;2020;767
Total Nacional;Canadá;2019;1.027
Total Nacional;Canadá;2018;950
Total Nacional;Canadá;2017;876
Total Nacional;Canadá;2016;743
Total Nacional;Canadá;2015;686
Total Nacional;Canadá;2014;689
Total Nacional;Canadá;2013;647
Total Nacional;Canadá;2012;622
Total Nacional;Canadá;2011;618
Total Nacional;Canadá;2010;494
Total Nacional;Canadá;2009;450
Total Nacional;Canadá;2008;450
Total Nacional;Centro América y Caribe;2021;43.563
Total Nacional;Centro América y Caribe;2020;50.111
Total Nacional;Centro América y Caribe;2019;87.821
Total Nacional;Centro América y Caribe;2018;69.490
Total Nacional;Centro América y Caribe;2017;53.530
Total Nacional;Centro América y Caribe;2016;38.186
Total Nacional;Centro América y Caribe;2015;30.178
Total Nacional;Centro América y Caribe;2014;27.940
Total Nacional;Centro América y Caribe;2013;26.189
Total Nacional;Centro América y Caribe;2012;30.877
Total Nacional;Centro América y Caribe;2011;36.761
Total Nacional;Centro América y Caribe;2010;27.919
Total Nacional;Centro América y Caribe;2009;26.037
Total Nacional;Centro América y Caribe;2008;38.648
Total Nacional;Cuba;2021;15.280
Total Nacional;Cuba;2020;8.486
Total Nacional;Cuba;2019;18.792
Total Nacional;Cuba;2018;15.270
Total Nacional;Cuba;2017;11.054
Total Nacional;Cuba;2016;8.618
Total Nacional;Cuba;2015;7.818
Total Nacional;Cuba;2014;7.881
Total Nacional;Cuba;2013;8.399
Total Nacional;Cuba;2012;9.281
Total Nacional;Cuba;2011;12.586
Total Nacional;Cuba;2010;9.960
Total Nacional;Cuba;2009;7.381
Total Nacional;Cuba;2008;10.866
Total Nacional;Honduras;2021;10.511
Total Nacional;Honduras;2020;18.852
Total Nacional;Honduras;2019;29.363
Total Nacional;Honduras;2018;23.720
Total Nacional;Honduras;2017;18.470
Total Nacional;Honduras;2016;11.013
Total Nacional;Honduras;2015;7.698
Total Nacional;Honduras;2014;5.721
Total Nacional;Honduras;2013;4.379
Total Nacional;Honduras;2012;5.356
Total Nacional;Honduras;2011;6.344
Total Nacional;Honduras;2010;4.774
Total Nacional;Honduras;2009;3.742
Total Nacional;Honduras;2008;4.582
Total Nacional;Nicaragua;2021;3.804
Total Nacional;Nicaragua;2020;9.399
Total Nacional;Nicaragua;2019;17.320
Total Nacional;Nicaragua;2018;11.590
Total Nacional;Nicaragua;2017;6.245
Total Nacional;Nicaragua;2016;4.171
Total Nacional;Nicaragua;2015;3.142
Total Nacional;Nicaragua;2014;2.730
Total Nacional;Nicaragua;2013;2.160
Total Nacional;Nicaragua;2012;2.796
Total Nacional;Nicaragua;2011;3.662
Total Nacional;Nicaragua;2010;3.018
Total Nacional;Nicaragua;2009;2.402
Total Nacional;Nicaragua;2008;2.945
Total Nacional;República Dominicana;2021;8.241
Total Nacional;República Dominicana;2020;6.536
Total Nacional;República Dominicana;2019;11.191
Total Nacional;República Dominicana;2018;10.925
Total Nacional;República Dominicana;2017;11.468
Total Nacional;República Dominicana;2016;9.723
Total Nacional;República Dominicana;2015;8.076
Total Nacional;República Dominicana;2014;8.688
Total Nacional;República Dominicana;2013;8.863
Total Nacional;República Dominicana;2012;10.794
Total Nacional;República Dominicana;2011;11.167
Total Nacional;República Dominicana;2010;7.645
Total Nacional;República Dominicana;2009;10.078
Total Nacional;República Dominicana;2008;17.040
Total Nacional;Otro país de Centro América y Caribe;2021;5.727
Total Nacional;Otro país de Centro América y Caribe;2020;6.838
Total Nacional;Otro país de Centro América y Caribe;2019;11.155
Total Nacional;Otro país de Centro América y Caribe;2018;7.985
